sujet,date,statut
Synthwave et imagerie rétro-futuriste spatiale en décoration,2025-10-12T16:11:57.416634,succès_2025-10-13_09:00
Guardians of the Galaxy : quand les couleurs cosmiques deviennent pop,2025-10-12T16:19:41.226944,échec_publication
Culture rave et nébuleuses fluorescentes dans la déco moderne,2025-10-12T16:23:17.575092,échec_publication
Interstellar et la nouvelle représentation des trous noirs,2025-10-12T16:27:12.139896,succès_2025-10-13_09:00
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T16:32:04.935086,succès_2025-10-13_09:00
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-12T16:41:30.372107,succès_2025-10-13_09:00
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-12T16:48:53.656826,succès_2025-10-13_09:00
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-12T16:53:15.460124,échec_publication
Cosmic Horror : de Lovecraft aux intérieurs gothiques spatiaux,2025-10-12T16:57:11.553343,échec_publication
Mythologies stellaires africaines dans l'art contemporain,2025-10-12T17:00:29.733276,échec_publication
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T17:38:22.666723,succès
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-13T06:58:49.863457,succès
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-13T07:04:34.644217,succès
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-13T07:09:10.602359,succès
Comment choisir une palette de couleurs neutres pour un Airbnb ?,2025-10-13T07:48:48.775953,succès
Quelles sont les meilleures idées de décoration minimaliste pour location saisonnière ?,2025-10-13T07:53:18.247636,succès
Pourquoi les dragons nordiques sont-ils toujours représentés avec des nœuds entrelacés dans l'art viking ?,2025-10-18T14:40:38.605496,succès
Comment les alchimistes médiévaux encodaient-ils leurs secrets dans les fresques mythologiques ?,2025-10-20T22:02:49.549890,succès
Quand la figure du Minotaure est-elle passée de monstre terrifiant à symbole psychanalytique dans l'art mural ?,2025-10-23T22:02:30.433935,succès
Pourquoi les licornes médiévales sont-elles presque toujours blanches dans les tapisseries murales ?,2025-10-27T22:02:54.449952,succès
Les fresques de Pompéi révèlent-elles des mythes romains perdus ?,2025-10-30T22:02:42.174445,succès
Comment les peintres Renaissance distinguaient-ils visuellement les dieux olympiens les uns des autres ?,2025-11-03T22:04:10.520262,succès
Quelle technique utilisait Gustave Moreau pour créer cette luminosité surnaturelle dans ses scènes mythologiques ?,2025-11-06T22:02:54.045568,succès
Pourquoi les Walkyries sont-elles représentées différemment dans l'art germanique et scandinave ?,2025-11-10T22:03:02.458395,succès
La Chute d'Icare : pourquoi Bruegel l'a-t-il relégué au second plan de son tableau ?,2025-11-13T22:02:52.320139,succès
Comment reconnaître un véritable griffon médiéval d'une chimère dans l'art mural religieux ?,2025-11-17T22:02:55.965996,succès
Quels pigments permettaient d'obtenir le bleu céleste des ciels olympiens de Tiepolo ?,2025-11-20T22:05:05.820069,succès
Pourquoi les serpents à plumes mésoaméricains sont-ils absents de l'art mural européen avant le XVIe siècle ?,2025-11-24T22:02:40.850631,succès
Les fresques étrusques contenaient-elles des mythes différents de ceux adoptés par Rome ?,2025-11-27T22:02:35.502377,succès
Comment les peintres symbolistes du XIXe siècle réinterprétaient-ils les mythes nordiques oubliés ?,2025-12-01T22:03:05.844077,succès
Quelle est la signification alchimique cachée dans les métamorphoses d'Ovide représentées à la Renaissance ?,2025-12-04T22:03:05.582160,succès
Pourquoi Méduse est-elle passée de monstre hideux à beauté tragique dans l'art du XIXe siècle ?,2025-12-08T22:03:01.287773,succès
